user_id,song_name,play_count,duration,play_ratio,skipped,rating
user_001,"Lolli Lolli (Pop That Body) (feat. Project Pat, Young D & Superpower) - Explicit Album Version",11,187,0.68,0,2.99
user_001,Nikes,16,125,0.11,1,0.0
user_001,Lovin' It (feat. Joe Scudda),3,162,0.86,0,2.47
user_001,"Sugar - Live at Irving Plaza, NYC, NY - January 1999",2,160,0.94,0,2.94
user_001,Love/Paranoia,13,252,0.71,0,3.04
user_001,Poe Mans Dreams (His Vice) (feat. GLC),12,265,0.49,0,2.78
user_001,Vivrant Thing - Club Mix,16,209,0.85,0,3.76
user_001,Wake Up,13,171,0.92,0,3.63
user_001,A Bitch Iz A Bitch,3,256,0.45,0,2.39
user_001,Aeroplane,4,188,0.37,0,1.95
user_001,Releasing The Demons,5,269,0.53,0,2.26
user_001,Will He,14,289,0.55,0,2.22
user_001,These Worries,4,169,0.88,0,2.4
user_001,My Homeboy's Girlfriend,14,149,0.32,0,2.03
user_001,Chainsaw,19,246,0.97,0,3.73
user_001,Righteous,13,256,0.84,0,3.38
user_001,Lit - Bonus,4,242,0.48,0,1.8
user_001,1-900-Hustler,4,276,0.08,1,0.06
user_001,Leave Me Alone,6,175,0.92,0,3.6
user_001,Do Not Disturb,1,245,0.8,0,3.21
user_001,The Dream Shatterer - Capital Punishment Mix,10,135,0.4,0,2.26
user_001,Romeo & Juliet,13,235,0.56,0,2.66
user_001,Faster,8,248,0.07,1,0.08
user_001,I Think They Like Me - Remix,12,137,0.45,0,1.77
user_001,Sleeping On The Floor,13,271,0.37,0,2.29
user_001,Piece By Piece,19,265,0.56,0,2.96
user_001,II. Shadows,17,250,0.22,1,0.0
user_001,Portland,4,236,0.31,0,0.9
user_001,Sky Walker (feat. Travis Scott),18,121,0.82,0,3.49
user_001,a lot,2,174,0.82,0,2.78
user_001,Substance Abuse,17,171,0.81,0,3.27
user_001,A Song About A Friend,3,240,0.05,1,0.0
user_001,Kno One,12,193,0.34,0,2.27
user_001,Liar,15,175,0.13,1,0.29
user_001,Snakecharmer,1,201,0.67,0,2.79
user_001,Hip 2 Da Game,14,140,0.21,1,0.0
user_001,India,2,125,0.92,0,3.4
user_001,Nunya (feat. Dom Kennedy),3,156,0.6,0,2.1
user_001,Finger on the Trigger,16,272,0.59,0,1.97
user_001,Can't Hold Us,1,156,0.07,1,0.05
user_001,Pound Cake / Paris Morton Music 2,12,289,0.37,0,2.25
user_001,Guns and Cigarettes,14,236,0.29,1,0.38
user_001,Just So You Know,4,245,0.36,0,2.37
user_001,1-Luv (feat. Leviti),7,248,0.94,0,3.42
user_001,Don't Hurt Me,7,153,0.36,0,1.94
user_001,Legend Has It,11,145,0.13,1,0.0
user_001,"Show Me Love (feat. Chance The Rapper, Moses Sumney and Robin Hannibal) - Skrillex Remix",18,223,0.37,0,1.67
user_001,Scared To Live,11,231,0.78,0,3.41
user_001,Take A Step Back,17,292,0.02,1,0.31
user_001,Like Flies,20,173,0.83,0,3.93
user_001,Kush & Corinthians (feat. BJ The Chicago Kid),18,260,0.98,0,3.37
user_001,Pressure,18,209,0.71,0,2.51
user_001,Rolling Up My Weed,1,251,0.15,1,0.0
user_001,On My Level (feat. Too $hort),17,157,0.7,0,3.15
user_001,Kingdom Come - Original Mix,14,231,0.07,1,0.22
user_001,Invilible Hate,12,197,0.62,0,2.61
user_001,50K Remix (feat. T.I.),6,196,0.19,1,0.18
user_001,A Change Of Heart,12,217,0.01,1,0.0
user_001,4th Dimension,11,192,0.57,0,2.46
user_001,Warbrain,20,183,0.6,0,2.88
user_001,III. Life: The Biggest Troll [Andrew Auernheimer],12,237,0.42,0,1.51
user_001,Freakin',1,210,0.2,1,0.0
user_001,Fuck Authority,4,257,0.71,0,2.53
user_001,Ten Ton Brick,15,267,0.25,1,0.0
user_001,Shutterbugg,13,177,0.05,1,0.0
user_001,Pray,14,132,0.83,0,3.37
user_001,Fuck The World,12,205,0.78,0,3.52
user_001,Big Lizard,18,142,0.59,0,2.38
user_001,"Return of the ""G""",13,260,0.14,1,0.55
user_001,Baknaffek,9,279,0.22,1,0.15
user_001,Makes Me Wonder,8,223,0.48,0,2.38
user_001,Greatest,11,206,0.07,1,0.0
user_001,Locked Up,1,223,0.83,0,3.53
user_001,Hop Off A Jet (feat. Travis Scott),15,206,0.13,1,0.0
user_001,Date Rape Stylee - Rarities Version,20,248,0.71,0,3.34
user_001,No Opp Left Behind,3,244,0.88,0,2.93
user_001,Hardest To Love,9,256,0.16,1,0.0
user_001,Come Close,17,159,0.04,1,0.0
user_001,Raise Your Glass,17,167,0.89,0,3.6
user_001,1.5,11,178,0.64,0,2.73
user_001,Lean 4 Real (feat. Skepta),16,299,0.75,0,2.77
user_001,Mi Padrino el Diablo,8,150,0.26,1,0.8
user_001,YEAH RIGHT,3,121,0.6,0,3.01
